algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
MMR_Original,20,20,213.05670954588982,0.00014410004951059818,20,,small_balanced,1,instance_001.json
MMR_Modified,20,20,204.8814220019591,0.000806800089776516,4,improvement_pct=3.8371,small_balanced,1,instance_001.json
GA_Original,20,20,198.29806845981602,5.000097499927506,14316,,small_balanced,1,instance_001.json
GA_Modified,20,20,206.08527225895972,5.000289200106636,10261,improvement_pct=3.2721,small_balanced,1,instance_001.json
MMR_Original,20,20,162.91553709695586,0.00014430005103349686,20,,small_balanced,2,instance_002.json
MMR_Modified,20,20,158.71033853533862,0.0006005000323057175,4,improvement_pct=2.5812,small_balanced,2,instance_002.json
GA_Original,20,20,161.52318642347709,5.000086100073531,14323,,small_balanced,2,instance_002.json
GA_Modified,20,20,158.71033853533856,5.000018700025976,10277,improvement_pct=2.5812,small_balanced,2,instance_002.json
MMR_Original,20,20,165.18944188496476,0.00014309980906546116,20,,small_balanced,3,instance_003.json
MMR_Modified,20,20,143.97668329217595,0.0008796998299658298,6,improvement_pct=12.8415,small_balanced,3,instance_003.json
GA_Original,20,20,145.9967583107138,5.000131099950522,14308,,small_balanced,3,instance_003.json
GA_Modified,20,20,145.17910792621907,5.0005156002007425,10365,improvement_pct=12.1136,small_balanced,3,instance_003.json
MMR_Original,20,20,117.09642613100642,0.00014079990796744823,20,,small_balanced,4,instance_004.json
MMR_Modified,20,20,117.09642613100642,0.0005532999057322741,2,improvement_pct=0.0000,small_balanced,4,instance_004.json
GA_Original,20,20,108.9375363750732,5.000200800132006,14297,,small_balanced,4,instance_004.json
GA_Modified,20,20,117.09642613100642,5.000028899870813,10262,improvement_pct=0.0000,small_balanced,4,instance_004.json
MMR_Original,20,20,174.82098862947086,0.0001417000312358141,20,,small_balanced,5,instance_005.json
MMR_Modified,20,20,158.403499070134,0.0005592999514192343,4,improvement_pct=9.3910,small_balanced,5,instance_005.json
GA_Original,20,20,142.81810303987777,5.00019589997828,14298,,small_balanced,5,instance_005.json
GA_Modified,20,20,153.86306502347188,5.000470000086352,10300,improvement_pct=11.9882,small_balanced,5,instance_005.json
MMR_Original,20,20,111.90920358207411,0.00014279992319643497,20,,small_balanced,6,instance_006.json
MMR_Modified,20,20,111.90920358207411,0.0005830998998135328,2,improvement_pct=0.0000,small_balanced,6,instance_006.json
GA_Original,20,20,107.74787173788631,5.000014699995518,14408,,small_balanced,6,instance_006.json
GA_Modified,20,20,110.86233081350055,5.000450599938631,10307,improvement_pct=0.9355,small_balanced,6,instance_006.json
MMR_Original,20,20,189.69221694819785,0.00014659995213150978,20,,small_balanced,7,instance_007.json
MMR_Modified,20,20,187.68015621584152,0.0006584001239389181,3,improvement_pct=1.0607,small_balanced,7,instance_007.json
GA_Original,20,20,187.01200203544684,5.000319699989632,14286,,small_balanced,7,instance_007.json
GA_Modified,20,20,187.6801562158415,5.000493300147355,10269,improvement_pct=1.0607,small_balanced,7,instance_007.json
MMR_Original,20,20,150.74331185517266,0.00014210003428161144,20,,small_balanced,8,instance_008.json
MMR_Modified,20,20,143.50038122989108,0.0005846999119967222,4,improvement_pct=4.8048,small_balanced,8,instance_008.json
GA_Original,20,20,137.08598119000345,5.000028799986467,14278,,small_balanced,8,instance_008.json
GA_Modified,20,20,144.80023471668827,5.000130899948999,10234,improvement_pct=3.9425,small_balanced,8,instance_008.json
MMR_Original,20,20,123.3454875646299,0.0001531001180410385,20,,small_balanced,9,instance_009.json
MMR_Modified,20,20,122.77524747526388,0.0006482999306172132,3,improvement_pct=0.4623,small_balanced,9,instance_009.json
GA_Original,20,20,120.35271041661035,5.000064500141889,14284,,small_balanced,9,instance_009.json
GA_Modified,20,20,118.42079907077442,5.000169700011611,10258,improvement_pct=3.9926,small_balanced,9,instance_009.json
MMR_Original,20,20,146.98052925921291,0.00014200014993548393,20,,small_balanced,10,instance_010.json
MMR_Modified,20,20,146.98052925921291,0.0005571001674979925,2,improvement_pct=0.0000,small_balanced,10,instance_010.json
